BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
life,regular fit regular length denim womens jeans - charcoal,"Size:26,28,30,32,34,36",Westernwear,1999.0,50.0,999.0
fratini,solid square neck polyester womens woven top - olive,"Size:Large,Medium,X-Large,XX-Large",Westernwear,999.0,50.0,499.0
kraus,wide leg fit ankle length cotton womens jeans - dark blue,"Size:28,30,32,34,36",Westernwear,1795.0,30.0,1256.0
madame,solid cotton round neck womens regular top - mauve,"Size:Large,Medium,X-Large",Westernwear,1499.0,40.0,899.0
life,printed viscose collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,899.0,50.0,449.0
stop,solid nr roma regular neck womens regular dress - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,50.0,1999.0
life,printed jersey round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
life,regular fit regular length cotton blend womens joggers - blue,"Size:26,28,30,32,34,36",Westernwear,1299.0,50.0,649.0
kraus,baggy fit ankle length cotton womens jeans - blue,"Size:28,30,32,34",Westernwear,1695.0,50.0,847.0
zink london,printed polyester boat neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1799.0,40.0,1079.0
latin quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",Westernwear,2008.5116138398257,50.0,2699.0
life,embroidered viscose blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,899.0,50.0,449.0
fratini,solid cotton blend round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,50.0,699.0
fratini,printed viscose collar neck womens a-line dress - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1599.0,50.0,799.0
faballey,floral georgette round neck womens dress - blue,"Size:Small,X-Small",Westernwear,2400.0,20.0,1920.0
rare,solid polyester choker neck womens regular top - black,"Size:Large,Medium,Small,X-Large",Westernwear,1299.0,55.0,584.0
stop,solid regular neck cotton stretch womens formal shirt - white,"Size:Large,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,50.0,999.0
rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",Westernwear,1399.0,60.0,559.0
life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34",Westernwear,999.0,50.0,499.0
zink london,solid cotton round neck womens top - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1899.0,40.0,1139.0
zink london,checks round neck cotton womens a-line dress - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2799.0,50.0,1399.0
stop,solid regular neck cotton blend womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,899.0,50.0,449.0
only,solid viscose womens cropped top - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1799.0,40.0,1079.0
life,printed viscose wide neck womens a-line dress - sage,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,50.0,749.0
life,embroidered blended round neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1199.0,50.0,599.0
latin quarters,printed v neck polyester womens regular fit dresses - peach,"Size:S,M,L,XL",Westernwear,2699.0,30.0,1889.0
rare,solid polyester mandarin womens regular top - green,"Size:Medium,Small",Westernwear,1299.0,60.0,519.0
latin quarters,dyed rayon blend womens casual wear shrug - peach,"Size:S,M,L,XL,XX-Large",Westernwear,1399.0,50.0,699.0
life,solid denim collar neck womens denim jacket - mid stone,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1899.0,50.0,949.0
rare,solid crepe tie up neck�womens regular top - grey,"Size:Large,Medium",Westernwear,1399.0,60.0,559.0
zink london,floral polyester round neck womens short dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2199.0,40.0,1319.0
rare,solid crepe round neck womens regular top - maroon,Size:Small,Westernwear,1099.0,50.0,549.0
allen solly,printed round neck rayon womens fit and flare dress - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2499.0,40.0,1499.0
life,regular fit regular length cotton lycra womens jeans - dk indigo,"Size:26,28,30,32,36",Westernwear,999.0,50.0,499.0
rare,solid crepe round neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",Westernwear,999.0,50.0,499.0
latin quarters,printed polyester womens regular dress - yellow,"Size:S,M,L,XL",Westernwear,2008.5116138398257,50.0,2799.0
rare,floral crepe round neck womens flared dress - cream,"Size:Large,Small,X-Large",Westernwear,1599.0,55.0,719.0
life,womens viscose collar checks shirts - orange,"Size:Small,X-Small",Westernwear,899.0,50.0,449.0
rare,solid modal round neck womens regular top - mustard,Size:X-Large,Westernwear,1499.0,60.0,599.0
van heusen,textured polyester round neck womens jacket - navy,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,3499.0,57.0,1499.0
life,printed jersey round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
rare,solid polyester boat neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",Westernwear,1499.0,60.0,599.0
life,solid viscose blend round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
stop,printed regular neck chambray womens formal shirt - blue,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,899.0,50.0,449.0
madame,solid georgette square neck womens regular top - mint,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1699.0,50.0,849.0
rare,floral georgette round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",Westernwear,1899.0,55.0,854.0
